peer_id,ip,tcp,udp,dialable,connect_error,crawl_error,agent_version,node_kind,fork_digest,attnets,attnets_num,subscribed_subnets,syncnets,opstack_chain_id,protocols_joined,connect_maddr,connect_duration,crawl_duration,visit_started_at,visit_ended_at,seq,enr
16Uiu2HAkw949aUhLTe7QPCG9N8wfELtNVwzXXYXuuwknkA582bcX,3.147.37.0,9000,9000,False,connection_refused,,,unknown,,,0,,,,,,12.801856ms,234.428512ms,2026-03-30T12:02:12.855573454Z,2026-03-30T12:02:13.090001966Z,1,enr:-Iu4QLm7bZGdAt9NSeJG0cEnJohWcQTQaI9wFLu3Q7eHIDfrI4cwtzvEW3F3VbG9XdFXlrHyFGeXPn9snTCQJ9bnMRABgmlkgnY0gmlwhAOTJQCJc2VjcDI1NmsxoQIZdZD6tDYpkpEfVo5bgiU8MGRjhcOmHGD2nErK0UKRrIN0Y3CCIyiDdWRwgiMo
16Uiu2HAmFYPo399a3YDJnYCTSZXwqG4Z5Z6vJM73MYi467AxK4Wd,40.160.63.29,30303,30303,False,negotiate_security_protocol,,,execution,0x446a3a11,,0,,,,,,9.391851ms,95.177292ms,2026-03-30T12:02:13.252339446Z,2026-03-30T12:02:13.347516748Z,1771435566200,enr:-KO4QEFLNJ58hNggnQv-1TUzss78X9gVF2NJesXeOrLZOksiHD856sEDZuo9Xf0qlSh-8GG9t0A_ImVWmT4WaIAtJBKGAZxxyaR4g2V0aMfGhERqOhGAgmlkgnY0gmlwhCigPx2Jc2VjcDI1NmsxoQMq4oDU-1KXOoVi2uR_npTkEYDNEO3XJzTavPYg-vnZAoRzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAkvmchQch2Km4MnjbZ4p5TTZveQNRKuRc8J6Zzpn5HBaZe,40.160.1.105,30307,30307,False,negotiate_security_protocol,,,execution,0xaeb08a55,,0,,,,,,10.207836ms,87.121987ms,2026-03-30T12:02:13.403620336Z,2026-03-30T12:02:13.490742313Z,1761683537050,enr:-KO4QMeXyswvL_rcOWniIeR3-3IWACzp5A2VEUm9G7yRbTt_HfAb2PmHoplEhP7TWEKZsU5WEt-SqYQARLcn8Vi7eIaGAZoshXyag2V0aMfGhK6wilWAgmlkgnY0gmlwhCigAWmJc2VjcDI1NmsxoQIT95dwqBagl6yv7lNQfLfTZnUPa9Z55oSMlEGqoxRx2YRzbmFwwIN0Y3CCdmODdWRwgnZj
16Uiu2HAmQ1fP2CrWK3dCremj3dFSADPLBGbr6KSHULkL6MKabXSX,40.160.63.148,30304,30304,False,negotiate_security_protocol,,,execution,0x07c9462e,,0,,,,,,9.0361ms,83.805882ms,2026-03-30T12:02:13.423176773Z,2026-03-30T12:02:13.506982645Z,1765896689048,enr:-J24QLkEFawrnJ5Ft6immS9Gf-QX8-IkTXGDPNTF3vpWppLtQ-PfxIA3XPNKnMcnqqPMdTl7rrAgC019Kct_gvTvmnyGAZsnpRWYg2V0aMfGhAfJRi6AgmlkgnY0gmlwhCigP5SJc2VjcDI1NmsxoQOovE222mbscdBGKqOjqaK1f-mQsA5yVCqQGpW_DpmkIIN0Y3CCdmCDdWRwgnZg
16Uiu2HAm8GRU3PvESG6CmYQycgENaLFyAcdAxiVq1ZrnxgQA1gwY,40.160.63.24,30303,30303,False,negotiate_security_protocol,,,execution,0x07c9462e,,0,,,,,,9.170681ms,80.771068ms,2026-03-30T12:02:13.507081935Z,2026-03-30T12:02:13.587853003Z,1765902489789,enr:-KO4QPPfO1TYUhBQZ5K8YUHhDXkLqbcHh9DXnZPQ7BnxBPWXf8AnFBonqL0Y_sknpIYcdDRbJvGaPNbUfoww3qS_SLKGAZsn_Zi9g2V0aMfGhAfJRi6AgmlkgnY0gmlwhCigPxiJc2VjcDI1NmsxoQK-yUr8J5kFSV014hK7tKertwVs4EfnOR9xZ1PL94vQB4RzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAkvZBBKTDCpnQ6Ss3hjrTUmq2DmMurzCoVGEZb3zWxFAp2,173.231.41.130,9222,9222,True,,,base,opstack,,,0,,,8453,/floodsub/1.0.0;/ipfs/id/1.0.0;/ipfs/id/push/1.0.0;/ipfs/ping/1.0.0;/meshsub/1.0.0;/meshsub/1.1.0;/meshsub/1.2.0;/opstack/req/payload_by_number/8453/0,/ip4/173.231.41.130/tcp/9222,26.672158ms,164.102877ms,2026-03-30T12:02:13.484640856Z,2026-03-30T12:02:13.648743733Z,1773840846436,enr:-J24QHdCkf1S_SuwtTY4PjA0DJChq0M9t9n_MsbWtKbf7gBKea0i0qiKagZE9JOrXwkU5nf0gbPofmrs9ZN6cIJLCeuGAZ0BJ05kgmlkgnY0gmlwhK3nKYKHb3BzdGFja4OFQgCJc2VjcDI1NmsxoQIQx8SGxoyfGHok15zpZToebEhEb0LBi1ULe_XmFTRX64N0Y3CCJAaDdWRwgiQG
16Uiu2HAmFAmzwVVCug4P4UdHjuPGrPEpdK7SbEtVbEZbKmv4ppeT,98.93.167.95,30303,30303,False,negotiate_security_protocol,,,execution,0x07c9462e,,0,,,,,,7.539023ms,60.88965ms,2026-03-30T12:02:13.594911745Z,2026-03-30T12:02:13.655801395Z,1771958399094,enr:-KO4QILwCtlI_gD1A9GChh1zbk_ytr64aMpby5tbhel2obUgERyVt07-uZ9MMwPu0IikvdMzhTS-GQlE6QcY54J6wmeGAZyQ83B2g2V0aMfGhAfJRi6AgmlkgnY0gmlwhGJdp1-Jc2VjcDI1NmsxoQMlWNU9eky3ovokWREykkukLfqrfr12gLnRRv-tI2w2wIRzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAkunToyJtnwHqacpafLsZwtrg39sboqTFjhZ3PnSZmbDQn,158.101.117.226,30303,30303,False,negotiate_security_protocol,,,execution,0x446a3a11,,0,,,,,,7.885935ms,76.208598ms,2026-03-30T12:02:13.603233982Z,2026-03-30T12:02:13.67944258Z,1772819847376,enr:-KO4QKqdSndZWDyn22DZzCna0UI-1pVipJbiGuIH4gCgcQaINexohpFu7SqSMgm-Jr5FibdiXkBRYdMciqdC_pGfegKGAZzETBjQg2V0aMfGhERqOhGAgmlkgnY0gmlwhJ5ldeKJc2VjcDI1NmsxoQIFU2_j5SwnXeVq5yGjWL5wpvfb7png-4hjiYGTMgNt44RzbmFwwIN0Y3CCdl-DdWRwgnZf
16Uiu2HAmLZHNgbkDc7sHgkwMWs4LfgoywqjgSRqZoY7FSn8hZRQg,64.147.110.92,9222,9222,False,connection_reset_by_peer,,,opstack,,,0,,,8453,,,18.395322ms,167.574135ms,2026-03-30T12:02:13.6795789Z,2026-03-30T12:02:13.847153035Z,1742952321038,enr:-J24QKtSQ3mSO8CFw3d8UIdi8kwx84wpukSXmL8e3K3jXeJKQmUGKALkRKeRxhRZVn_TtAq91Ogrcau2ehwK_ZgvmFSGAZXQDdAOgmlkgnY0gmlwhECTblyHb3BzdGFja4OFQgCJc2VjcDI1NmsxoQN1Z0J63pV-cUOac570Y0ox6ouW0vof1mciZFhVtqSdXYN0Y3CCJAaDdWRwgiQG
16Uiu2HAmBnqfvNPprUf5NHRo18aZb3n8yEV3A14a4ukdmRyzcY3Q,20.236.193.107,41000,41000,True,,,teku/teku/v26.3.0/linux-x86_64/-eclipseadoptium-openjdk64bitservervm-java-21,consensus,0x8c9f62fe,0x0000000003000000,2,32;33,0x04,,/ipfs/ping/1.0.0;/meshsub/1.2.0;/meshsub/1.1.0;/meshsub/1.0.0,/ip4/20.236.193.107/tcp/41000,146.030789ms,587.246816ms,2026-03-30T12:02:13.674459337Z,2026-03-30T12:02:14.261706143Z,231,enr:-My4QOGwZdbe18FsHsS-TOoyesPWabAvz1dAQk__jagGlJlfIPm0FVeBZ6uP17jwR5na_mXWJzPTEyKjpWcfIU0Tc86B54dhdHRuZXRziAAAAAADAAAAg2NnY4GAhGV0aDKQjJ9i_gYAAAD__________4JpZIJ2NIJpcIQU7MFrg25mZIQAAAAAiXNlY3AyNTZrMaEC8yclfBpUpnBrsHzJZSgYVHEhPBjMWP5pxqdt1Hl9TO-Ic3luY25ldHMEg3RjcIKgKIN1ZHCCoCg
